game_id,season,week,date,kickoff_et,home_team,away_team,home_score,away_score,home_win,spread_close,total_close
2018_05_ATL_PIT,2018,5,2018-10-07,13:00,PIT,ATL,41,17,1,3.5,57
2018_05_OAK_LAC,2018,5,2018-10-07,16:05,LAC,OAK,26,10,1,5.5,52
2018_05_MIN_PHI,2018,5,2018-10-07,16:25,PHI,MIN,21,23,0,3.5,48
2018_05_LA_SEA,2018,5,2018-10-07,16:25,SEA,LA,31,33,0,-7.5,50.5
2018_05_ARI_SF,2018,5,2018-10-07,16:25,SF,ARI,18,28,0,3,40.5
2018_05_DAL_HOU,2018,5,2018-10-07,20:20,HOU,DAL,19,16,1,3.5,45
2018_05_WAS_NO,2018,5,2018-10-08,20:15,NO,WAS,43,19,1,5.5,51.5
2018_06_PHI_NYG,2018,6,2018-10-11,20:20,NYG,PHI,13,34,0,-1.5,45.5
2018_06_TB_ATL,2018,6,2018-10-14,13:00,ATL,TB,34,29,1,3,57.5
2018_06_PIT_CIN,2018,6,2018-10-14,13:00,CIN,PIT,21,28,0,1,49.5
2018_06_LAC_CLE,2018,6,2018-10-14,13:00,CLE,LAC,14,38,0,1,47
2018_06_BUF_HOU,2018,6,2018-10-14,13:00,HOU,BUF,20,13,1,10.5,40.5
2018_06_CHI_MIA,2018,6,2018-10-14,13:00,MIA,CHI,31,28,1,-7.5,40.5
2018_06_ARI_MIN,2018,6,2018-10-14,13:00,MIN,ARI,27,17,1,10,43.5
2018_06_IND_NYJ,2018,6,2018-10-14,13:00,NYJ,IND,42,34,1,2.5,47.5
2018_06_SEA_OAK,2018,6,2018-10-14,13:00,OAK,SEA,3,27,0,-3,47.5
2018_06_CAR_WAS,2018,6,2018-10-14,13:00,WAS,CAR,23,17,1,-1,44.5
2018_06_LA_DEN,2018,6,2018-10-14,16:05,DEN,LA,20,23,0,-7,50
2018_06_JAX_DAL,2018,6,2018-10-14,16:25,DAL,JAX,40,7,1,-3,39.5
2018_06_BAL_TEN,2018,6,2018-10-14,16:25,TEN,BAL,0,21,0,-2.5,43.5
2018_06_KC_NE,2018,6,2018-10-14,20:20,NE,KC,43,40,1,4,59.5
2018_06_SF_GB,2018,6,2018-10-15,20:15,GB,SF,33,30,1,9,46.5
2018_07_DEN_ARI,2018,7,2018-10-18,20:20,ARI,DEN,10,45,0,-1,42.5
2018_07_NE_CHI,2018,7,2018-10-21,13:00,CHI,NE,31,38,0,-1,49
2018_07_BUF_IND,2018,7,2018-10-21,13:00,IND,BUF,37,5,1,7,43.5
2018_07_HOU_JAX,2018,7,2018-10-21,13:00,JAX,HOU,7,20,0,4,43
2018_07_DET_MIA,2018,7,2018-10-21,13:00,MIA,DET,21,32,0,-3,47
2018_07_MIN_NYJ,2018,7,2018-10-21,13:00,NYJ,MIN,17,37,0,-3.5,45
2018_07_CAR_PHI,2018,7,2018-10-21,13:00,PHI,CAR,17,21,0,5,45
2018_07_CLE_TB,2018,7,2018-10-21,13:00,TB,CLE,26,23,1,3.5,52.5
2018_07_NO_BAL,2018,7,2018-10-21,16:05,BAL,NO,23,24,0,2.5,49
2018_07_LA_SF,2018,7,2018-10-21,16:25,SF,LA,10,39,0,-8,52
2018_07_DAL_WAS,2018,7,2018-10-21,16:25,WAS,DAL,20,17,1,-1.5,40.5
2018_07_CIN_KC,2018,7,2018-10-21,20:20,KC,CIN,45,10,1,6.5,56
2018_07_TEN_LAC,2018,7,2018-10-21,21:30,LAC,TEN,20,19,1,6.5,46
2018_07_NYG_ATL,2018,7,2018-10-22,20:15,ATL,NYG,23,20,1,4.5,52
2018_08_MIA_HOU,2018,8,2018-10-25,20:20,HOU,MIA,42,23,1,7.5,45
2018_08_BAL_CAR,2018,8,2018-10-28,13:00,CAR,BAL,36,21,1,-2.5,44
2018_08_NYJ_CHI,2018,8,2018-10-28,13:00,CHI,NYJ,24,10,1,8.5,42.5
2018_08_TB_CIN,2018,8,2018-10-28,13:00,CIN,TB,37,34,1,3.5,55
2018_08_SEA_DET,2018,8,2018-10-28,13:00,DET,SEA,14,28,0,3,47.5
2018_08_DEN_KC,2018,8,2018-10-28,13:00,KC,DEN,30,23,1,8.5,53
2018_08_WAS_NYG,2018,8,2018-10-28,13:00,NYG,WAS,13,20,0,-1,43
2018_08_CLE_PIT,2018,8,2018-10-28,13:00,PIT,CLE,33,18,1,8.5,47.5
2018_08_IND_OAK,2018,8,2018-10-28,16:05,OAK,IND,28,42,0,-3.5,51
2018_08_SF_ARI,2018,8,2018-10-28,16:25,ARI,SF,18,15,1,-2.5,40
2018_08_GB_LA,2018,8,2018-10-28,16:25,LA,GB,29,27,1,7.5,57
2018_08_NO_MIN,2018,8,2018-10-28,20:20,MIN,NO,20,30,0,-2.5,53.5
