game_id,season,week,spread_close,total_close,home,season_f,rest_home,rest_home_capped,first_game_home,rest_away,rest_away_capped,first_game_away,prev_margin_home,prev_margin_away,elo_home,elo_away,elo_diff,wind_mph,temp_f,precip_mm
2018_11_CAR_DET,2018,11,-4,48,1,2018,7,7,0,10,10,0,-12,-31,1475.5880049692846,1525.800674360971,14.787330608313596,NA,NA,NA
2018_11_CIN_BAL,2018,11,6.5,44,1,2018,14,14,0,7,7,0,-7,-37,1492.3315049235705,1507.5518960030854,49.77960892048509,NA,NA,NA
2018_11_DAL_ATL,2018,11,3.5,50,1,2018,7,7,0,7,7,0,-12,7,1489.9355535875816,1492.0834087746628,62.85214481291882,NA,NA,NA
2018_11_DEN_LAC,2018,11,7.5,47,1,2018,7,7,0,14,14,0,14,-2,1547.8385386581263,1471.4258643279627,141.41267433016355,NA,NA,NA
2018_11_HOU_WAS,2018,11,-3,40.5,1,2018,7,7,0,14,14,0,13,2,1524.2771485918095,1531.4423657644393,57.83478282737019,NA,NA,NA
2018_11_MIN_CHI,2018,11,2.5,44,1,2018,7,7,0,14,14,0,12,15,1525.0159777062327,1525.5065325755359,64.5094451306968,NA,NA,NA
2018_11_OAK_ARI,2018,11,4.5,41,1,2018,7,7,0,7,7,0,-12,-14,1454.9071464349897,1434.0984522692431,85.8086941657466,NA,NA,NA
2018_11_PHI_NO,2018,11,7,56.5,1,2018,7,7,0,7,7,0,37,-7,1570.1956584898892,1487.5625726417825,147.6330858481067,NA,NA,NA
2018_11_PIT_JAX,2018,11,-4,47,1,2018,7,7,0,10,10,0,-3,31,1467.6546891846565,1546.4337025843806,-13.779013399724136,NA,NA,NA
2018_11_TB_NYG,2018,11,3,54.5,1,2018,6,6,0,7,7,0,4,-13,1456.2085578220174,1472.2912025859293,48.91735523608804,NA,NA,NA
2018_11_TEN_IND,2018,11,2,50,1,2018,7,7,0,7,7,0,3,24,1493.033869737339,1513.0227303141653,45.011139423173745,NA,NA,NA
2018_11_KC_LA,2018,11,3,63.5,1,2018,8,8,0,8,8,0,5,12,1569.1583649661413,1569.304235149049,64.85412981709237,NA,NA,NA
2018_12_ATL_NO,2018,12,11.5,61,1,2018,4,4,0,4,4,0,41,-3,1576.1849686551982,1478.1460025394654,163.03896611573282,NA,NA,NA
2018_12_CHI_DET,2018,12,-3,43,1,2018,4,4,0,4,4,0,1,5,1485.1626481907174,1533.180293070742,16.98235511997541,NA,NA,NA
2018_12_WAS_DAL,2018,12,7,40,1,2018,4,4,0,4,4,0,3,-2,1503.872959822779,1512.6277364901655,56.24522333261348,NA,NA,NA
2018_12_ARI_LAC,2018,12,14,43.5,1,2018,7,7,0,7,7,0,-1,-2,1533.9791576188811,1442.4863948388434,156.49276278003776,NA,NA,NA
2018_12_CLE_CIN,2018,12,-1,46.5,1,2018,7,7,0,14,14,0,-3,12,1498.9749440051783,1463.6722303919778,100.30271361320047,NA,NA,NA
2018_12_GB_MIN,2018,12,4,48.5,1,2018,7,7,0,10,10,0,-5,-3,1517.3422172110265,1483.3275640839965,99.01465312702999,NA,NA,NA
2018_12_JAX_BUF,2018,12,-3,36.5,1,2018,14,14,0,7,7,0,31,-4,1468.0634969449438,1458.0510732743387,75.01242367060513,NA,NA,NA
2018_12_MIA_IND,2018,12,9,52.5,1,2018,7,7,0,14,14,0,28,-19,1501.745544634421,1496.677726503799,70.06781813062207,NA,NA,NA
2018_12_NE_NYJ,2018,12,-13,46.5,1,2018,14,14,0,14,14,0,-31,-24,1460.4418762279133,1536.9440275776258,-11.502151349712449,NA,NA,NA
2018_12_NYG_PHI,2018,12,4.5,49,1,2018,7,7,0,7,7,0,-41,3,1481.5732624764735,1464.809833442474,81.7634290339995,NA,NA,NA
2018_12_OAK_BAL,2018,12,13,42,1,2018,7,7,0,7,7,0,3,2,1500.9084569214776,1446.5192038653895,119.38925305608814,NA,NA,NA
